name	Betweenness	Closeness	Degree	Eigenvector	LAC	Network
EP300	3814.10001545788	0.430555555555556	51	0.107091963291168	11.0588235294118	27.3776520533932
TP53	13040.3135898531	0.456398640996602	69	0.130770206451416	9.82608695652174	36.59940178874
MAPK8	2186.18534981406	0.415463917525773	38	0.101178266108036	7.15789473684211	12.7729208057956
CXCR4	3442.77922359094	0.385645933014354	29	0.0688772350549698	7.17241379310345	12.1767101658406
EPHA2	841.533833736961	0.360142984807864	13	0.0502231679856777	7.69230769230769	8.52777777777778
CTNNB1	9800.60248781456	0.431016042780749	54	0.103227786719799	6.66666666666667	16.8930942452276
EPHA3	171.066655303291	0.337520938023451	10	0.0340210571885109	5.6	6.22222222222222
NGFR	766.764163312411	0.369047619047619	18	0.0304442215710878	3	4.76378915202444
MAPK14	4815.61899541886	0.431016042780749	49	0.140206769108772	11.9591836734694	22.4359135023667
ERBB2	2383.52410104568	0.400596421471173	24	0.0785205289721489	8.58333333333333	10.0354037267081
EGFR	5288.24318834844	0.436619718309859	54	0.156129717826843	13.3333333333333	25.7982170061709
PRKCB	598.016314578803	0.38527724665392	26	0.0803245604038239	7.30769230769231	8.61294117647059
PRKCA	1238.17196247291	0.405432595573441	29	0.0751676559448242	6.20689655172414	8.46499856352798
ERBB4	596.961265024174	0.388996138996139	22	0.0715259462594986	7.72727272727273	9.33268018531177
TNF	1990.25247961105	0.388246628131021	31	0.0681858211755753	8.25806451612903	12.3813479210848
CCR5	397.747823979998	0.354130052724077	12	0.0216230303049088	6.16666666666667	7.76590909090909
ADRB2	1097.42045906933	0.351965065502183	12	0.0187756791710854	5.5	7.11439393939394
CHRM1	442.905589414228	0.35950044603033	13	0.0264620892703533	6.30769230769231	8.22045454545454
F2	5684.27079022217	0.371086556169429	24	0.0334792360663414	4.16666666666667	11.1952743548012
GRB2	6964.89456112304	0.426455026455026	64	0.159359857439995	12.59375	37.2749354104494
SRC	15027.3360035196	0.477488151658768	91	0.224402830004692	15.4065934065934	58.0307998790624
PLCG1	3390.67297179642	0.387872954764196	49	0.106043674051762	8.73469387755102	21.993112405767
NOS3	666.272345248144	0.372458410351201	15	0.043684359639883	4.53333333333333	5.07142857142857
JAK2	1547.30281959124	0.405840886203424	43	0.13075153529644	12.5116279069767	20.5061260235529
DNMT1	690.666776309141	0.362084456424079	10	0.0234099552035332	4	5.68888888888889
AHR	2102.16491363071	0.373840445269017	9	0.0298592783510685	3.11111111111111	3.70833333333333
AR	1963.8907757213	0.414609053497942	30	0.078988179564476	7.6	10.4039588798762
HSP90AB1	461.688825325956	0.395098039215686	21	0.0601683594286442	7.71428571428571	9.93438195791137
